Random-Discrete.parameter, Random-Discrete.points, Adapt-Discrete.parameter, Adapt-Discrete.points
7, 17.00, 0, 4.00
7, 18.50, 0, -1.00
7, 18.50, 0, -1.00
7, 18.80, 0, -2.00
7, 17.90, 0, 1.00
7, 18.20, 0, -0.00
7, 18.50, 0, -1.00
7, 18.20, 0, -0.00
7, 18.50, 0, -1.00
7, 18.20, 0, -0.00
7, 17.30, 0, 3.00
7, 18.20, 0, -0.00
7, 17.60, 0, 2.00
7, 17.90, 0, 1.00
7, 17.90, 0, 1.00
7, 18.20, 0, -0.00
7, 17.30, 0, 3.00
7, 18.20, 0, -0.00
7, 18.20, 0, -0.00
7, 17.30, 0, 3.00
7, 18.20, 0, -0.00
7, 18.80, 0, -2.00
7, 18.20, 0, -0.00
7, 17.00, 0, 4.00
7, 17.90, 0, 1.00
7, 17.90, 0, 1.00
7, 17.60, 0, 2.00
7, 18.20, 0, -0.00
7, 18.50, 0, -1.00
7, 18.20, 0, -0.00
7, 18.80, 0, -2.00
7, 18.80, 0, -2.00
7, 18.80, 0, -2.00
7, 18.80, 0, -2.00
7, 17.60, 0, 2.00
7, 18.50, 0, -1.00
7, 19.10, 0, -3.00
7, 18.20, 0, -0.00
7, 18.80, 0, -2.00
7, 17.60, 0, 2.00
7, 17.00, 0, 4.00
7, 17.90, 0, 1.00
7, 18.50, 0, -1.00
7, 18.20, 0, -0.00
7, 17.90, 0, 1.00
7, 17.90, 0, 1.00
7, 18.20, 0, -0.00
7, 18.20, 0, -0.00
7, 19.40, 0, -4.00
7, 18.20, 0, -0.00
7, 17.60, 0, 2.00
7, 18.50, 0, -1.00
7, 17.90, 0, 1.00
7, 17.90, 0, 1.00
7, 19.40, 0, -4.00
7, 17.90, 0, 1.00
7, 18.50, 0, -1.00
7, 18.50, 0, -1.00
7, 17.30, 0, 3.00
7, 17.30, 0, 3.00
7, 19.40, 0, -4.00
7, 17.60, 0, 2.00
7, 18.50, 0, -1.00
7, 18.20, 0, -0.00
7, 18.80, 0, -2.00
7, 18.50, 0, -1.00
7, 18.20, 0, -0.00
7, 17.60, 0, 2.00
7, 18.50, 0, -1.00
7, 17.60, 0, 2.00
7, 18.80, 0, -2.00
7, 18.80, 0, -2.00
7, 17.90, 0, 1.00
7, 17.90, 0, 1.00
7, 18.20, 0, -0.00
7, 17.90, 0, 1.00
7, 18.50, 0, -1.00
7, 17.00, 0, 4.00
7, 18.50, 0, -1.00
7, 18.80, 0, -2.00
7, 18.50, 0, -1.00
7, 18.80, 0, -2.00
8, 18.20, 0, -0.00
8, 19.10, 0, -3.00
8, 18.80, 0, -2.00
8, 20.00, 0, -6.00
8, 17.90, 0, 1.00
8, 18.80, 0, -2.00
8, 17.90, 0, 1.00
8, 18.50, 0, -1.00
8, 19.40, 0, -4.00
8, 18.50, 0, -1.00
8, 18.50, 0, -1.00
8, 18.20, 0, -0.00
8, 18.50, 0, -1.00
8, 19.10, 0, -3.00
8, 19.40, 0, -4.00
8, 18.50, 0, -1.00
8, 17.90, 0, 1.00
8, 18.80, 0, -2.00
8, 19.40, 0, -4.00
8, 19.70, 0, -5.00
8, 18.50, 0, -1.00
8, 20.00, 0, -6.00
8, 18.50, 0, -1.00
8, 19.40, 0, -4.00
8, 18.50, 0, -1.00
8, 18.20, 0, -0.00
8, 18.80, 0, -2.00
8, 18.20, 0, -0.00
8, 18.80, 0, -2.00
8, 18.80, 0, -2.00
8, 19.40, 0, -4.00
8, 19.10, 0, -3.00
8, 19.40, 0, -4.00
8, 17.90, 0, 1.00
8, 19.40, 0, -4.00
8, 17.90, 0, 1.00
8, 18.50, 0, -1.00
8, 17.90, 0, 1.00
8, 18.50, 0, -1.00
8, 18.80, 0, -2.00
8, 19.10, 0, -3.00
8, 18.80, 0, -2.00
8, 18.50, 0, -1.00
8, 18.50, 0, -1.00
8, 19.10, 0, -3.00
8, 18.20, 0, -0.00
8, 19.40, 0, -4.00
8, 19.40, 0, -4.00
8, 18.20, 0, -0.00
8, 18.50, 0, -1.00
8, 19.70, 0, -5.00
8, 18.20, 0, -0.00
8, 19.10, 0, -3.00
8, 18.80, 0, -2.00
8, 18.80, 0, -2.00
8, 18.80, 0, -2.00
8, 18.20, 0, -0.00
8, 18.50, 0, -1.00
8, 18.80, 0, -2.00
8, 19.10, 0, -3.00
8, 17.90, 0, 1.00
8, 19.40, 0, -4.00
8, 18.50, 0, -1.00
8, 18.50, 0, -1.00
8, 19.10, 0, -3.00
8, 18.50, 0, -1.00
8, 18.20, 0, -0.00
8, 18.20, 0, 0.00
8, 19.40, 0, -4.00
8, 19.70, 0, -5.00
8, 19.10, 0, -3.00
8, 18.80, 0, -2.00
8, 19.70, 0, -5.00
8, 19.70, 0, -5.00
8, 18.50, 0, -1.00
8, 19.10, 0, -3.00
8, 19.40, 0, -4.00
8, 18.80, 0, -2.00
8, 19.70, 0, -5.00
8, 17.60, 0, 2.00
8, 18.80, 0, -2.00
8, 19.10, 0, -3.00
8, 18.20, 0, -0.00
8, 19.10, 0, -3.00
8, 18.20, 0, 0.00
8, 18.50, 0, -1.00
8, 19.10, 0, -3.00
8, 19.10, 0, -3.00
8, 19.70, 0, -5.00
8, 19.40, 0, -4.00
8, 18.20, 0, -0.00
8, 18.20, 0, -0.00
8, 18.20, 0, -0.00
8, 17.90, 0, 1.00
8, 18.80, 0, -2.00
8, 19.40, 0, -4.00
8, 18.80, 0, -2.00
8, 19.10, 0, -3.00
8, 18.80, 0, -2.00
8, 18.50, 0, -1.00
9, 19.40, 0, -4.00
9, 19.70, 0, -5.00
9, 18.50, 0, -1.00
9, 19.70, 0, -5.00
9, 19.40, 0, -4.00
9, 19.40, 0, -4.00
9, 20.00, 0, -6.00
9, 19.40, 0, -4.00
9, 19.40, 0, -4.00
9, 18.50, 0, -1.00
